Datetime (UTC),Elia Grid Load [MW]
2023/2/11 0:00,2393.92
2023/2/12 0:00,1953.651
2023/2/13 0:00,1798.114
2023/2/14 0:00,1578.108
2023/2/15 0:00,1292.67
2023/2/16 0:00,1891.923
2023/2/17 0:00,1530.808
2023/2/18 0:00,1958.069
2023/2/19 0:00,2082.955
2023/2/20 0:00,1612.526
2023/2/21 0:00,1407.839
2023/2/22 0:00,1810.289
2023/2/23 0:00,1573.093
2023/2/24 0:00,2316.279
2023/2/25 0:00,2037.828
2023/2/26 0:00,2036.518
2023/2/27 0:00,1715.911
2023/2/28 0:00,1460.528
2023/3/1 0:00,1508.327
2023/3/2 0:00,1450.018
2023/3/3 0:00,1368.871
2023/3/4 0:00,1795.466
2023/3/5 0:00,1450.248
2023/3/6 0:00,1572.18
2023/3/7 0:00,1322.115
2023/3/8 0:00,1305.583
2023/3/9 0:00,1104.341
2023/3/10 0:00,1529.128
2023/3/11 0:00,1579.364
2023/3/12 0:00,1863.826
2023/3/13 0:00,1130.718
2023/3/14 0:00,1445.409
2023/3/15 0:00,1069.545
2023/3/16 0:00,1261.447
2023/3/17 0:00,2035.601
2023/3/18 0:00,2390.282
2023/3/19 0:00,1927.028
2023/3/20 0:00,1391.113
2023/3/21 0:00,1839.606
2023/3/22 0:00,1374.117
2023/3/23 0:00,1823.804
2023/3/24 0:00,1833.376
2023/3/25 0:00,2363.76
2023/3/26 0:00,1577.647
2023/3/27 0:00,1291.037
2023/3/28 0:00,1545.887
2023/3/29 0:00,1449.003
2023/3/30 0:00,1388.078
2023/3/31 0:00,1406.601
2023/4/1 0:00,2004.86
2023/4/2 0:00,1821.551
2023/4/3 0:00,1718.987
2023/4/4 0:00,1897.084
2023/4/5 0:00,1867.93
2023/4/6 0:00,1450.191
2023/4/7 0:00,1653.557
2023/4/8 0:00,1902.352
2023/4/9 0:00,1329.147
2023/4/10 0:00,1780.159
2023/4/11 0:00,1009.92
2023/4/12 0:00,1294.769
2023/4/13 0:00,1437.875
2023/4/14 0:00,1991.493
2023/4/15 0:00,1490.497
2023/4/16 0:00,1553.531
2023/4/17 0:00,1746.756
2023/4/18 0:00,1367.393
2023/4/19 0:00,1454.649
2023/4/20 0:00,1087.778
2023/4/21 0:00,1630.793
2023/4/22 0:00,2194.42
2023/4/23 0:00,1702.331
2023/4/24 0:00,1682.538
2023/4/25 0:00,1480.404
2023/4/26 0:00,1799.866
2023/4/27 0:00,1793.758
2023/4/28 0:00,2276.905
2023/4/29 0:00,3178.918
2023/4/30 0:00,3481.679
2023/5/1 0:00,3539.471
2023/5/2 0:00,4192.375
2023/5/3 0:00,2868.305
2023/5/4 0:00,1680.963
2023/5/5 0:00,2120.987
2023/5/6 0:00,1515.356
2023/5/7 0:00,1992.813
2023/5/8 0:00,1572.344
2023/5/9 0:00,1433.181
2023/5/10 0:00,1470.371
2023/5/11 0:00,1439.693
2023/5/12 0:00,1617.066
2023/5/13 0:00,2173.58
2023/5/14 0:00,2048.566
2023/5/15 0:00,1680.578
2023/5/16 0:00,1585.129
2023/5/17 0:00,1956.987
2023/5/18 0:00,1883.07
2023/5/19 0:00,1741.851
2023/5/20 0:00,2164.415
2023/5/21 0:00,2464.261
2023/5/22 0:00,1492.444
2023/5/23 0:00,1650.332
2023/5/24 0:00,1624.88
2023/5/25 0:00,1937.128
2023/5/26 0:00,2182.595
2023/5/27 0:00,2181.874
2023/5/28 0:00,2455.824
2023/5/29 0:00,1544.923
2023/5/30 0:00,1895.293
2023/5/31 0:00,2221.248
2023/6/1 0:00,1975.246
2023/6/2 0:00,2187.944
2023/6/3 0:00,2789.999
2023/6/4 0:00,1937.076
2023/6/5 0:00,2787.136
2023/6/6 0:00,1225.916
2023/6/7 0:00,1724.049
2023/6/8 0:00,1665.729
2023/6/9 0:00,2457.846
2023/6/10 0:00,2464.893
2023/6/11 0:00,2495.692
2023/6/12 0:00,1672.08
2023/6/13 0:00,2484.173
2023/6/14 0:00,1608.546
2023/6/15 0:00,1794.034
2023/6/16 0:00,2194.203
2023/6/17 0:00,1877.97
2023/6/18 0:00,2234.256
2023/6/19 0:00,2358.663
2023/6/20 0:00,2472.094
2023/6/21 0:00,3090.3
2023/6/22 0:00,2543.09
2023/6/23 0:00,3569.917
2023/6/24 0:00,2948.173
2023/6/25 0:00,1764.041
2023/6/26 0:00,2193.758
2023/6/27 0:00,2410.094
2023/6/28 0:00,2581.582
2023/6/29 0:00,2636.176
2023/6/30 0:00,2478.793
2023/7/1 0:00,2525.927
2023/7/2 0:00,2601.221
2023/7/3 0:00,1997.791
2023/7/4 0:00,2148.562
2023/7/5 0:00,2099.544
2023/7/6 0:00,2001.131
2023/7/7 0:00,2588.999
2023/7/8 0:00,2745.182
2023/7/9 0:00,2598.073
2023/7/10 0:00,3060.258
2023/7/11 0:00,2172.552
2023/7/12 0:00,2661.768
2023/7/13 0:00,2087.587
2023/7/14 0:00,1706.883
2023/7/15 0:00,3131.021
2023/7/16 0:00,2078.6
2023/7/17 0:00,1864.346
2023/7/18 0:00,2050.179
2023/7/19 0:00,2330.258
2023/7/20 0:00,1900.122
2023/7/21 0:00,2226.826
2023/7/22 0:00,2520.631
2023/7/23 0:00,2943.446
2023/7/24 0:00,2159.292
2023/7/25 0:00,2789.97
2023/7/26 0:00,2249.03
2023/7/27 0:00,2612.52
2023/7/28 0:00,2795.72
2023/7/29 0:00,2859.912
2023/7/30 0:00,2590.67
2023/7/31 0:00,1791.129
2023/8/1 0:00,1965.208
2023/8/2 0:00,1987.042
2023/8/3 0:00,2428.166
2023/8/4 0:00,3333.877
2023/8/5 0:00,3199.242
2023/8/6 0:00,3058.783
2023/8/7 0:00,2173.24
2023/8/8 0:00,2090.274
2023/8/9 0:00,2083.591
2023/8/10 0:00,2646.547
2023/8/11 0:00,3201.046
2023/8/12 0:00,2884.797
2023/8/13 0:00,2527.965
2023/8/14 0:00,2762.13
2023/8/15 0:00,2136.799
2023/8/16 0:00,2715.596
2023/8/17 0:00,2300.627
2023/8/18 0:00,2388.86
2023/8/19 0:00,2785.95
2023/8/20 0:00,2587.592
2023/8/21 0:00,2623.757
2023/8/22 0:00,2191.921
2023/8/23 0:00,2784.395
2023/8/24 0:00,2327.783
2023/8/25 0:00,2742.628
2023/8/26 0:00,2711.975
2023/8/27 0:00,2932.275
2023/8/28 0:00,2301.407
2023/8/29 0:00,1919.924
2023/8/30 0:00,2208.169
2023/8/31 0:00,1995.678
2023/9/1 0:00,2655.745
2023/9/2 0:00,2137.412
2023/9/3 0:00,2594.857
2023/9/4 0:00,2383.643
2023/9/5 0:00,1872.81
2023/9/6 0:00,1930.396
2023/9/7 0:00,2438.077
2023/9/8 0:00,2558.837
2023/9/9 0:00,2295.347
2023/9/10 0:00,2602.182
2023/9/11 0:00,2023.244
2023/9/12 0:00,2179.199
2023/9/13 0:00,2207.292
2023/9/14 0:00,2456.626
2023/9/15 0:00,2108.015
2023/9/16 0:00,3360.136
2023/9/17 0:00,3131.909
2023/9/18 0:00,2404.91
2023/9/19 0:00,2570.977
2023/9/20 0:00,2571.31
2023/9/21 0:00,2146.477
2023/9/22 0:00,2830.484
2023/9/23 0:00,2565.247
2023/9/24 0:00,2818.85
2023/9/25 0:00,2862.139
2023/9/26 0:00,2438.564
2023/9/27 0:00,3418.216
2023/9/28 0:00,3716.454
2023/9/29 0:00,4491.14
2023/9/30 0:00,4569.249
2023/10/1 0:00,4465.197
2023/10/2 0:00,4924.291
2023/10/3 0:00,4229.298
2023/10/4 0:00,3869.781
2023/10/5 0:00,3892.691
2023/10/6 0:00,3442.198
2023/10/7 0:00,1798.736
2023/10/8 0:00,2198.495
2023/10/9 0:00,2593.113
2023/10/10 0:00,2329.966
2023/10/11 0:00,2339.894
2023/10/12 0:00,2532.262
2023/10/13 0:00,2470.312
2023/10/14 0:00,2522.396
2023/10/15 0:00,2637.593
2023/10/16 0:00,2098.219
2023/10/17 0:00,2164.462
2023/10/18 0:00,2905.773
2023/10/19 0:00,2432.404
2023/10/20 0:00,2655.33
2023/10/21 0:00,2533.464
2023/10/22 0:00,3038.423
2023/10/23 0:00,2534.18
